condition,success_rate,reward_mean,reward_std,intervention_norm,kl_divergence,action_magnitude,fisher_p,mannwhitney_p,ci_low,ci_high
baseline,0.2,322.6041364244325,274.5561695927061,,,0.8508084416389465,,,,
strategy3_a0.1_b0.1,0.4,690.9404647168469,829.5249814581208,343.43333333333334,0.3710827210422609,0.8718559145927429,1.0,0.5476190476190477,-0.39999999999999997,0.8
strategy5_a0.1_b0.1,0.6,1479.2779411041367,1052.2570248532797,338.9533333333333,0.24293493002156044,0.9329532384872437,0.5238095238095238,0.2222222222222222,-0.2,1.0
strategy3_a0.1_b0.3,0.4,1046.4674936949539,1030.4012374913668,1041.1333333333334,3.560222785700364,1.013210654258728,1.0,0.30952380952380953,-0.39999999999999997,0.8
strategy5_a0.1_b0.3,0.8,1619.3464151168453,809.1149733236346,1028.2266666666667,2.7986000007270673,0.9949655532836914,0.2063492063492064,0.015873015873015872,0.0,1.0
strategy3_a0.1_b0.5,0.0,199.66817988850642,36.67074667317184,1768.0266666666666,7.956016474061887,1.2473424673080444,1.0,0.8412698412698413,-0.6,0.0
strategy5_a0.1_b0.5,0.0,263.2601210240018,82.52585664448048,1759.8933333333334,7.066802924121699,1.1550430059432983,1.0,0.2222222222222222,-0.6,0.0
strategy3_a0.5_b0.1,0.6,1481.8659801134231,1052.8789698114483,354.76666666666665,0.3290670053922554,0.9348613023757935,0.5238095238095238,0.15079365079365079,-0.2,0.8049999999999955
strategy5_a0.5_b0.1,0.6,1476.884293610768,1054.1222329957702,354.26666666666665,0.43732798086987223,0.9242162704467773,0.5238095238095238,0.15079365079365079,-0.2,0.8
strategy3_a0.5_b0.3,0.2,362.9140817599863,194.4103108340701,1088.1466666666668,4.496257778077276,1.047709584236145,1.0,0.42063492063492064,-0.4,0.4
strategy5_a0.5_b0.3,0.2,505.99576057060676,347.82660615347095,1074.8533333333332,4.292787357940249,1.0755701065063477,1.0,0.09523809523809523,-0.4,0.6
strategy3_a0.5_b0.5,0.0,265.6137294274255,140.8708719125357,1864.1333333333334,8.498134137860145,1.3865959644317627,1.0,0.6904761904761905,-0.6,0.0
strategy5_a0.5_b0.5,0.0,199.0832625691387,15.802945880988437,1870.2133333333334,8.267797948820466,1.358603835105896,1.0,0.8412698412698413,-0.6,0.0
strategy3_a1.0_b0.1,0.8,1576.0789078083822,923.5985770333201,353.1666666666667,0.4263559887805941,0.9540992975234985,0.2063492063492064,0.2222222222222222,0.0,1.0
strategy5_a1.0_b0.1,0.6,1510.8101969328625,992.242516129413,354.96,0.4016110657965879,0.9429326057434082,0.5238095238095238,0.031746031746031744,-0.2,1.0
strategy3_a1.0_b0.3,0.0,332.13553588119896,111.05305126315838,1090.9333333333334,4.570743033045954,1.0474371910095215,1.0,0.15079365079365079,-0.6,0.0
strategy5_a1.0_b0.3,0.6,1468.5191817324267,939.4683792414613,1079.2533333333333,4.132805326667114,1.0717600584030151,0.5238095238095238,0.15079365079365079,-0.2,0.8049999999999955
strategy3_a1.0_b0.5,0.0,190.70846521909996,42.433733285236634,1875.28,7.9433602364843345,1.36127769947052,1.0,0.8412698412698413,-0.6,0.0
strategy5_a1.0_b0.5,0.0,240.10867983263694,121.01183562754169,1866.1066666666666,8.262767242300425,1.3785192966461182,1.0,1.0,-0.6,0.0
linear_a0.5,0.2,596.6525668645237,816.7625847973352,0.5,0.1501152873454235,0.870203971862793,1.0,0.8412698412698413,-0.4,0.4
linear_a1.0,0.0,172.06321649347387,16.549738174794037,1.0,0.1391944048812132,0.8432410359382629,1.0,0.2222222222222222,-0.6,0.0
linear_a2.0,0.0,187.48965767193513,8.528721407981147,2.0,0.16014689919386632,0.8299905061721802,1.0,0.6904761904761905,-0.6,0.0
linear_a5.0,0.0,185.29951178626393,8.750626066831128,5.0,0.19517429962502664,0.800944447517395,1.0,0.8412698412698413,-0.6,0.0
random_conceptor,0.8,1085.2754263182144,603.461061647712,896.04,2.5727316958107083,1.0434356927871704,0.2063492063492064,0.031746031746031744,0.0,1.0
